-DOCSTART- -X- -X- O
a DT B-NP B-GENUS
German-style JJ I-NP I-GENUS
board NN I-NP I-GENUS
game NN B-NP B-HYPER
designed VVN B-VP O
by IN B-PP O
Wolfgang NP I-PP O
Kramer NP I-PP O
and CC O O
Michael NP B-NP O
Kiesling NP I-NP O
and CC O O
published VVN B-VP O
in IN B-PP O
2000 CD I-PP O
by IN I-PP O
Ravensburger NP I-PP O
in IN I-PP O
Germany NP I-PP O
and CC O O
by IN B-PP O
Rio NP I-PP O
Grande NP I-PP O
Games NPS I-PP O
in IN I-PP O
England NP I-PP O
. . O O

Jehoshaphat NN B-NP B-TERM
or CC I-NP O
Jehosaphat NP I-NP O
or CC O O
Josaphat NP B-NP O
or CC I-NP O
Yehoshafat NP I-NP O
( ( O O
Hebrew NP B-NP O
Name NP I-NP O
) ) O O
was VBD B-VP O
the DT B-NP B-GENUS
successor NN B-NP B-HYPER
of IN B-PP O
Asa NP I-PP O
, , O O
king NN B-NP O
of IN B-PP O
Judah NP I-PP O
. . O O

In IN I-PP O
physics NN I-PP O
, , O O
Jerk NP B-NP B-TERM
, , O O
jolt NN B-NP O
( ( O O
RB ADVP O O
in IN B-PP O
British NP I-PP O
English NP I-PP O
) ) O O
, , O O
surge NN B-NP O
or CC I-NP O
lurch NN I-NP O
, , O O
is VBZ B-VP O
the DT B-NP B-GENUS
rate NN B-NP B-HYPER
of IN B-PP I-HYPER
change NN I-PP I-HYPER
of IN B-PP O
acceleration NN I-PP O
; : O O
that WDT B-NP O
is VBZ B-VP O
, , O O
the DT B-NP O
derivative NN I-NP O
of IN B-PP O
acceleration NN I-PP O
with IN I-PP O
respect NN I-PP O
to TO I-PP O
time NN I-PP O
, , O O
the DT B-NP O
second JJ I-NP O
derivative NN I-NP O
of IN B-PP O
velocity NN I-PP O
, , O O
or CC O O
the DT B-NP O
third JJ I-NP O
derivative NN I-NP O
of IN B-PP O
displacement NN I-PP O
. . O O

A DT B-NP O
Jew NP I-NP B-TERM
( ( O O
Hebrew NP B-NP O
: : O O
יְהוּדִים NN B-NP O
, , O O
Yehudi NP B-NP O
( ( O O
sl NP B-NP O
. SENT O O
) ) O O
; : O O
יְהוּדִים NN B-NP O
, , I-NP O
Yehudim NP I-NP O
( ( O O
pl NP B-NP O
. SENT O O
) ) O O
; : O O
Ladino NP B-NP O
: : O O
ג׳ודיוס NN B-NP O
, , I-NP O
Djudio NP I-NP O
( ( O O
sl NP B-NP O
. SENT O O
) ) O O
; : O O
ייִד NN B-NP O
, , I-NP O
Djudios NP I-NP O
( ( O O
pl NP B-NP O
. SENT O O
) ) O O
; : O O
Yiddish NN B-NP O
: : O O
ייִד NN B-NP O
, , I-NP O
Yid NP I-NP O
( ( O O
sl NP B-NP O
. SENT O O
) ) O O
; : O O
ייִדן JJ B-NP O
, , I-NP O
Yidn NP I-NP O
( ( O O
pl NP B-NP O
. SENT O O
) ) O O
) ) O O
is VBZ B-VP O
a DT B-NP O
member NN I-NP O
of IN B-PP O
the NP B-PP B-GENUS
Jewish JJ B-NP B-HYPER
people NNS I-NP I-HYPER
, , O O
an DT B-NP O
ethnoreligious JJ I-NP O
group NN I-NP O
originating VVG B-VP O
from IN B-PP O
the DT I-PP O
Israelites NNS I-PP O
or CC I-PP O
Hebrews NNS I-PP O
of IN I-PP O
the DT I-PP O
ancient JJ I-PP O
Middle NP I-PP O
East NP I-PP O
. . O O

Jewel NN B-NP B-TERM
may MD B-VP O
mean VV I-VP O
Gemstone NP B-NP B-HYPER
or CC B-NP O
jewellery NN B-NP B-HYPER
. . O O

Joel NN B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
surname NN B-NP B-HYPER
( ( B-NP O
last JJ I-NP O
name NN I-NP O
) ) O O
of IN B-PP O
Joel NP I-PP O
family NN I-PP O
, , O O
a DT B-NP O
British JJ I-NP O
family NN I-NP O
of IN B-PP O
brothers NNS I-PP O
who WP B-NP O
made VVD B-VP O
a DT B-NP O
fortune NN I-NP O
in IN B-PP O
diamond NN I-PP O
and CC I-PP O
gold NN I-PP O
mining NN I-PP O
in IN I-PP O
South NP I-PP O
Africa NP I-PP O
. . O O

A DT B-NP O
Joke NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
short JJ B-NP B-HYPER
story NN I-NP I-HYPER
or CC B-NP O
ironic JJ B-NP B-HYPER
depiction NN I-NP I-HYPER
of IN B-PP O
a DT I-PP O
situation NN I-PP O
communicated VVN B-VP O
with IN B-PP O
the DT I-PP O
intent NN I-PP O
of IN I-PP O
being VBG B-VP O
JJ ADJP O O
. . O O

The DT B-NP O
Joule NP I-NP B-TERM
( ( O O
written VVN B-VP O
in IN B-PP O
lower JJR I-PP O
case NN I-PP O
, , O O
/ˈdʒuːl/ NN B-NP O
or CC I-NP O
/ˈdʒaʊl/ NN I-NP O
) ) O O
( ( B-NP O
symbol NN I-NP O
: : O O
J NP B-NP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
SI NP I-NP I-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
energy NN I-PP I-HYPER
measuring VVG B-VP O
heat NN B-NP O
, , I-NP O
electricity NN I-NP O
and CC I-NP O
mechanical JJ I-NP O
work NN I-NP O
. . O O

A DT I-NP O
Joystick NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
input NN B-NP B-HYPER
device NN I-NP I-HYPER
consisting VVG B-VP O
of IN B-PP O
a DT I-PP O
stick NN I-PP O
that WDT B-NP O
pivots VVZ B-VP O
on IN B-PP O
a DT I-PP O
base NN I-PP O
and CC O O
reports VVZ B-VP O
its PP$ B-NP O
angle NN I-NP O
or CC I-NP O
direction NN I-NP O
to TO B-PP O
the DT I-PP O
device NN I-PP O
it PP B-NP O
is VBZ B-VP O
controlling VVG I-VP O
. . O O

The DT B-NP O
Jurassic NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
geologic JJ B-NP B-HYPER
period NN I-NP I-HYPER
and CC B-NP O
system NN B-NP B-HYPER
that WDT B-NP O
extends VVZ B-VP O
from IN B-PP O
about IN I-PP O
period NN I-PP O
startperiod NN I-PP O
start NN I-PP O
error NN I-PP O
Ma NP I-PP O
( ( O O
million CD B-NP O
years NNS I-NP O
ago RB I-NP O
) ) O O
to TO B-PP O
period NN I-PP O
endperiod NN I-PP O
end NN I-PP O
error NN I-PP O
Ma NP B-NP O
, , O O
that WDT B-NP O
is VBZ B-VP O
, , O O
from IN B-PP O
the DT I-PP O
end NN I-PP O
of IN I-PP O
the DT I-PP O
Triassic JJ I-PP O
to TO I-PP O
the DT I-PP O
beginning NN I-PP O
of IN I-PP O
the DT I-PP O
Cretaceous JJ I-PP O
. . O O

In IN I-PP O
law NN I-PP O
, , O O
Jurisdiction NP B-NP B-TERM
( ( O O
from IN B-PP O
the DT I-PP O
Latin JJ I-PP O
ius NN I-PP O
, , O O
iuris NN B-NP O
meaning NN I-NP O
" `` O O
law NN B-NP O
" '' O O
and CC O O
dicere NN B-NP O
meaning NN I-NP O
" '' O O
to TO B-VP O
speak VV I-VP O
" '' O O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
practical JJ B-NP B-HYPER
authority NN I-NP I-HYPER
granted VVN B-VP O
to TO B-PP O
a DT I-PP O
formally RB I-PP O
constituted VVD B-VP O
legal JJ B-NP O
body NN I-NP O
or CC O O
to TO B-PP O
a DT I-PP O
political JJ I-PP O
leader NN I-PP O
to TO B-VP O
deal VV I-VP O
with IN B-PP O
and CC O O
make VV B-VP O
pronouncements NNS B-NP O
on IN B-PP O
legal JJ I-PP O
matters NNS I-PP O
and CC O O
, , O O
by IN B-PP O
implication NN I-PP O
, , O O
to TO B-VP O
administer VV I-VP O
justice NN B-NP O
within IN B-PP O
a DT I-PP O
defined VVN I-PP O
area NN I-PP O
of IN I-PP O
responsibility NN I-PP O
. . O O

The DT B-NP O
Jutes NP I-NP B-TERM
, , I-NP O
Iuti NP I-NP O
, , I-NP O
or CC I-NP O
Iutae NP I-NP O
were VBD B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
people NNS B-NP B-HYPER
who WP B-NP O
, , O O
according VVG B-VP O
to TO B-PP O
Bede NP I-PP O
, , O O
were VBD B-VP O
one CD B-NP O
of IN B-PP O
the DT I-PP O
three CD I-PP O
most RBS I-PP O
powerful JJ I-PP O
Germanic JJ I-PP O
peoples NNS I-PP O
of IN I-PP O
the DT I-PP O
time NN I-PP O
. . O O

Jutland NN B-NP B-TERM
( ( O O
Jylland NP B-NP O
; : O O
Jütland NP B-NP O
; : O O
Low NP B-NP O
German NP I-NP O
: : O O
Jüütland NP B-NP O
; : O O
in IN B-PP O
English NP I-PP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
JJ ADJP O I-GENUS
, , O I-GENUS
continental JJ B-NP B-HYPER
part NN I-NP I-HYPER
of IN B-PP O
Denmark NP I-PP O
RB ADVP O O
RB ADVP O O
as IN B-PP O
one CD I-PP O
of IN I-PP O
the DT I-PP O
three CD I-PP O
historical JJ I-PP O
Lands NP I-PP O
of IN I-PP O
Denmark NP I-PP O
, , O O
dividing VVG B-VP O
the DT B-NP O
North NP I-NP O
Sea NP I-NP O
from IN B-PP O
the DT I-PP O
Kattegat NP I-PP O
and CC O O
the DT B-NP O
Baltic NP I-NP O
Sea NP I-NP O
. . O O

The DT I-NP O
KA-BAR NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
fighting NN B-NP B-HYPER
and CC B-VP O
utility NN B-NP O
Bowie NN I-NP O
knife NN B-NP B-HYPER
RB ADVP O O
used VVN B-VP O
by IN B-PP O
the DT I-PP O
United NP I-PP O
States NPS I-PP O
Marine NP I-PP O
Corps NP I-PP O
in IN I-PP O
World NP I-PP O
War NP I-PP O
II NP I-PP O
. . O O

KA9Q NN B-NP B-TERM
is VBZ B-VP O
RB ADVP O O
a DT B-NP O
name NN I-NP O
for IN B-PP O
the DT B-PP B-GENUS
IP-over-IP NP B-NP I-GENUS
Tunneling NP I-NP I-GENUS
protocol NN B-NP B-HYPER
. . O O

The DT B-NP O
KAB-500KR NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
JJ ADJP O I-GENUS
TV-guided JJ B-NP B-HYPER
fire NN I-NP I-HYPER
and CC B-VP O
forget VV I-VP O
bomb NN B-NP O
developed VVN B-VP O
by IN B-PP O
the DT I-PP O
Soviet NP I-PP O
Air NP I-PP O
Force NP I-PP O
in IN I-PP O
the DT I-PP O
1980s NNS I-PP O
. . O O

The DT B-NP O
abbreviation NN I-NP O
KB NN I-NP B-TERM
or CC I-NP O
kb NN I-NP O
can MD B-VP O
refer VV I-VP O
to TO I-VP O
: : O O
Kilobit NP B-NP B-HYPER
( ( O O
kb NN B-NP O
) ) O O
, , O O
a DT B-NP O
unit NN I-NP O
of IN B-PP O
information NN I-PP O
used VVN B-VP O
, , O O
for IN B-PP O
example NN I-PP O
, , O O
to TO B-VP O
quantify VV I-VP O
computer NN B-NP O
memory NN I-NP O
or CC I-NP O
storage NN I-NP O
capacity NN I-NP O
. . O O

The DT I-NP O
name NN I-NP O
KDE NN I-NP B-TERM
was VBD B-VP O
intended VVN I-VP O
as IN B-PP O
a DT B-PP B-GENUS
word NN B-NP B-HYPER
play NN I-NP I-HYPER
on IN B-PP O
the DT I-PP O
existing JJ I-PP O
Common NP I-PP O
Desktop NP I-PP O
Environment NP I-PP O
, , O O
JJ ADJP O O
for IN B-PP O
Unix NP I-PP O
systems NNS I-PP O
. . O O

Khadamat-e NP B-NP O
Etela'at-e NP I-NP O
Dawlati NP I-NP O
'خدمات-اطلاعات-دولتی JJ I-NP O
( ( O O
English NP B-NP O
: : O O
" `` O O
State NP B-NP O
Information NP I-NP O
Agency NP I-NP O
" '' O O
) ) O O
, , O O
RB ADVP O O
RB ADVP O O
known VVN B-VP O
by IN B-PP O
its PP$ I-PP O
acronym NN I-PP O
KHAD NN I-PP B-TERM
( ( O O
or CC O O
KhAD NP B-NP O
) ) O O
, , O O
was VBD B-VP O
the DT B-NP B-GENUS
Democratic JJ I-NP I-GENUS
Republic NP I-NP I-GENUS
of IN B-PP I-GENUS
Afghanistan NP I-PP I-GENUS
's POS I-PP I-GENUS
secret JJ B-NP B-HYPER
police NNS I-NP I-HYPER
. . O O

KIBO NN B-NP B-TERM
is VBZ B-VP O
an DT B-NP O
acronym NN I-NP O
for IN B-PP O
Knowledge NP B-PP B-HYPER
In NP I-PP I-HYPER
, , O I-HYPER
Bullshit NP B-NP I-HYPER
Out NP I-NP I-HYPER
. . O O

Kernel NN B-NP O
Language NP I-NP O
0 CD I-NP O
( ( O O
KL0 NP B-NP B-TERM
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
sequential JJ I-NP I-GENUS
logic NN I-NP I-GENUS
programming NN B-NP B-HYPER
language NN I-NP I-HYPER
based VVN B-VP O
on IN B-PP O
Prolog NP I-PP O
, , O O
used VVN B-VP O
in IN B-PP O
the DT I-PP O
ICOT NP I-PP O
Fifth NP I-PP O
generation NN I-PP O
computer NN I-PP O
project NN I-PP O
. . O O

In IN B-PP O
computing NN I-PP O
, , O O
the DT B-NP O
KOMPILER NP I-NP B-TERM
was VBD B-VP O
one CD B-NP O
of IN B-PP O
the DT B-PP B-GENUS
first NN I-PP I-GENUS
language NN B-NP B-HYPER
compilation NN I-NP I-HYPER
and CC B-VP O
runtime NN B-NP O
systems NNS I-NP O
for IN B-PP O
International NP I-PP O
Business NP I-PP O
Machines NP I-PP O
' POS I-PP O
IBM NP B-NP O
701 CD I-NP O
, , O O
the DT B-NP O
fastest JJS I-NP O
commercial JJ I-NP O
U. NP I-NP O
S. NP I-NP O
computer NN I-NP O
JJ ADJP O O
in IN B-PP O
. . O O

A DT B-NP O
Kaleidoscope NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
tube NN B-NP B-HYPER
of IN B-PP O
mirrors NNS I-PP O
containing VVG B-VP O
RB ADVP O O
colored VVN B-VP O
beads NNS B-NP O
, , O O
pebbles NNS B-NP O
or CC O O
other JJ B-NP O
small JJ I-NP O
colored VVN I-NP O
objects NNS I-NP O
. . O O

The DT I-NP O
Kalevala NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
book NN B-NP B-HYPER
and CC B-NP O
epic NN B-NP B-HYPER
poem NN I-NP I-HYPER
which WDT B-NP O
the DT I-NP O
Finn NP I-NP O
Elias NP I-NP O
Lönnrot NP I-NP O
compiled VVN B-VP O
from IN B-PP O
Finnish JJ I-PP O
and CC I-PP O
Karelian JJ I-PP O
folklore NN I-PP O
in IN I-PP O
the DT I-PP O
19th JJ I-PP O
century NN I-PP O
. . O O

A DT B-NP O
Kangaroo NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
marsupial NN B-NP B-HYPER
from IN B-PP O
the DT I-PP O
family NN I-PP O
Macropodidae NP I-PP O
( ( O O
macropods NNS B-NP O
, , O O
meaning VVG B-VP O
large JJ B-NP O
foot NN I-NP O
) ) O O
. . O O

Kapok NN B-NP B-TERM
( ( O O
Ceiba NP B-NP O
pentandra NP I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
tree NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
order NN I-PP O
Malvales NP B-NP O
and CC O O
the DT B-NP O
family NN I-NP O
Malvaceae NP I-NP O
( ( O O
previously RB B-VP O
separated VVN I-VP O
in IN B-PP O
the DT I-PP O
family NN I-PP O
Bombacaceae NP B-NP O
) ) O O
, , O O
JJ ADJP O O
to TO B-PP O
Mexico NP I-PP O
, , O O
Central NP B-NP O
America NP I-NP O
and CC O O
the DT B-NP O
Caribbean NP I-NP O
, , O O
northern JJ B-NP O
South NP I-NP O
America NP I-NP O
, , O O
and CC O O
( ( O O
as IN B-PP O
the DT I-PP O
variety NN I-PP O
C. NP I-PP O
pentandra NP I-PP O
var NN I-PP O
. SENT O O
guineensis NN B-NP O
) ) O O
to TO B-PP O
tropical JJ I-PP O
west NN I-PP O
Africa NP I-PP O
. . O O

Kashmir NN B-NP B-TERM
( ( O O
Dogri NP B-NP O
: : O O
कश्मीर NN B-NP O
; : O O
Balti NP B-NP O
: : O O
کشمیر NP B-NP O
Poonchi/ NP I-NP O
Chibhali NP I-NP O
: : O O
کشمیر NN B-NP O
; : O O
Kashmiri NN B-NP O
: : O O
कॅशीर NN B-NP O
, , O O
کٔشِیر NN B-NP O
; : O O
Shina NP B-NP O
: : O O
کشمیر NN B-NP O
; : O O
Uyghur NP B-NP O
: : O O
كەشمىر NP B-NP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
JJ ADJP O I-GENUS
region NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
Indian NP I-PP O
subcontinent NN B-NP O
. . O O

The DT B-NP O
Katal NP I-NP B-TERM
( ( O O
symbol NN B-NP O
: : O O
kat NN B-NP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
SI NP I-NP I-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
catalytic JJ B-NP I-HYPER
activity NN I-NP I-HYPER
. . O O

The DT B-NP O
Kattegat NP I-NP B-TERM
( ( I-NP O
Danish JJ I-NP O
) ) I-NP O
, , O O
or CC O O
Kattegatt NP B-NP O
( ( O O
Swedish NP B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
sea NN B-NP B-HYPER
area NN I-NP I-HYPER
bounded VVN B-VP O
by IN B-PP O
Jutland NP I-PP O
( ( O O
Denmark NP B-NP O
) ) O O
, , O O
and CC O O
Scania NP B-NP O
, , I-NP O
Halland NP I-NP O
and CC I-NP O
BohuslÃ¤n NP I-NP O
( ( O O
Sweden NP B-NP O
) ) O O
. . O O

A DT B-NP O
Kayak NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
small JJ I-NP I-GENUS
JJ ADJP O I-GENUS
boat NN B-NP B-HYPER
. . O O

Kazaa NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
peer-to-peer NN I-NP I-GENUS
file NN B-NP B-HYPER
sharing NN I-NP I-HYPER
application NN I-NP I-HYPER
using VVG B-VP O
the DT B-NP O
FastTrack NP I-NP O
protocol NN I-NP O
and CC O O
is VBZ B-VP O
owned VVN I-VP O
by IN B-PP O
Sharman NP I-PP O
Networks NPS I-PP O
. . O O

A DT B-NP O
Kenning NP I-NP B-TERM
( ( O O
Old NP B-NP O
Norse JJ I-NP O
kenning NN I-NP O
, , O O
Modern NP B-NP O
Icelandic JJ I-NP O
pronunciation NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
circumlocution NN B-NP B-HYPER
used VVN B-VP O
RB ADVP O O
of IN B-PP O
an DT I-PP O
ordinary JJ I-PP O
noun NN I-PP O
in IN I-PP O
Old JJ I-PP O
JJ ADJP O O
CC ADJP O O
later RBR B-NP O
Icelandic JJ I-NP O
poetry NN I-NP O
. . O O

Ket NN I-NP B-TERM
refers VVZ B-VP O
to TO B-PP O
the DT B-PP B-GENUS
Ket NP I-PP I-GENUS
people NNS B-NP B-HYPER
, , O O
a DT B-NP O
people NNS I-NP O
of IN B-PP O
Siberia NP I-PP O
. . O O

Ketene NN B-NP B-TERM
RB ADVP O O
refers VVZ B-VP O
to TO I-VP O
ethenone NN B-NP B-HYPER
, , O O
the DT B-NP O
specific JJ I-NP O
compound NN I-NP O
of IN B-PP O
this DT I-PP O
class NN I-PP O
in IN I-PP O
which WDT I-PP O
both DT B-NP O
Rs NP I-NP O
are VBP B-VP O
hydrogen NN B-NP O
. . O O

In IN B-PP O
computing NN I-PP O
, , O O
a DT B-NP O
Keyboard NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
peripheral NN B-NP B-HYPER
partially RB B-NP O
modelled VVN I-NP O
after IN B-PP O
the DT I-PP O
typewriter NN I-PP O
keyboard NN I-PP O
. . O O

Introduced VVN B-VP O
in IN B-PP O
1990 CD I-PP O
, , O O
Keykode NP B-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
Eastman NP B-NP B-HYPER
Kodak NP I-NP I-HYPER
Company NP I-NP I-HYPER
advancement NN B-NP O
on IN B-PP O
edge NN I-PP O
numbers NNS I-PP O
, , O O
which WDT B-NP O
are VBP B-VP O
letters NNS B-NP O
, , O O
numbers NNS B-NP O
and CC O O
symbols NNS B-NP O
placed VVN B-VP O
at IN B-PP O
regular JJ I-PP O
intervals NNS I-PP O
along IN I-PP O
the DT I-PP O
edge NN I-PP O
of IN I-PP O
35 CD I-PP O
mm NNS I-PP O
and CC O O
16 CD B-NP O
mm NP I-NP O
film NN I-NP O
to TO B-VP O
allow VV I-VP O
for IN B-PP O
frame-by-frame JJ I-PP O
specific JJ I-PP O
identification NN I-PP O
. . O O

The DT I-NP O
Khazars NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
semi-nomadic JJ I-NP I-GENUS
Turkic NP I-NP I-GENUS
people NNS B-NP B-HYPER
who WP B-NP O
dominated VVD B-VP O
the DT B-NP O
Pontic JJ I-NP O
steppe NN I-NP O
and CC O O
the DT B-NP O
North NP I-NP O
Caucasus NP I-NP O
from IN B-PP O
the DT I-PP O
7th JJ I-PP O
to TO I-PP O
the DT I-PP O
10th JJ I-PP O
century NN I-PP O
CE NP B-NP O
. . O O

A DT B-NP O
Kilobit NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
information NN B-NP I-HYPER
, , O O
abbreviated VVN B-VP O
kbit NN B-NP O
( ( O O
or CC O O
kb NN B-NP O
) ) O O
. . O O

A DT B-NP O
Kilobyte NP I-NP B-TERM
( ( O O
derived VVN B-VP O
from IN B-PP O
the DT I-PP O
SI NP I-PP O
prefix NN I-PP O
kilo- NN I-PP O
, , O O
meaning VVG B-VP O
1,000 CD B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
information NN I-PP I-HYPER
or CC B-NP O
computer NN I-NP O
storage NN I-NP O
JJ ADJP O O
to TO B-PP O
either RB I-PP O
1,024 CD I-PP O
bytes NNS I-PP O
( ( O O
2 CD B-NP O
10 CD I-NP O
) ) O O
or CC O O
1,000 CD B-NP O
bytes NNS I-NP O
( ( O O
10 CD B-NP O
3 CD I-NP O
) ) O O
, , O O
depending VVG B-VP O
on IN B-PP O
context NN I-PP O
. . O O

The DT B-NP O
Kilt NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
garment NN B-NP B-HYPER
of IN B-PP O
Scotland NP I-PP O
and CC O O
, , O O
RBR ADVP O O
RB ADVP O O
, , O O
Celtic JJ B-NP O
( ( I-NP O
JJR ADJP O O
specifically RB B-NP O
Gaelic JJ I-NP O
) ) I-NP O
culture NN I-NP O
typically RB B-VP O
worn VVN I-VP O
by IN B-PP O
men NNS I-PP O
. . O O

In IN I-PP O
the DT I-PP O
Mediterranean NP I-PP O
Basin NP I-PP O
and CC O O
the DT B-NP O
Near NP I-NP O
East NP I-NP O
, , O O
a DT B-NP O
Kiosk NP I-NP B-TERM
( ( O O
Persian NP B-NP O
کوشک NP I-NP O
Kushk NP I-NP O
; : O O
Arabic NP B-NP O
كشك NP I-NP O
Koshk NP I-NP O
; : O O
Turkish JJ B-NP O
köşk NP I-NP O
; : O O
French NP B-NP O
Kiosque NP I-NP O
; : O O
German NP B-NP O
Kiosk NP I-NP O
; : O O
Polish NP B-NP O
Kiosk NP I-NP O
; : O O
Portuguese NP B-NP O
Quiosque NP I-NP O
; : O O
Romanian JJ B-NP O
chioşc NP I-NP O
; : O O
and CC O O
Spanish NP B-NP O
Quiosco NP I-NP O
or CC I-NP O
kiosco NP I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
small JJ I-NP I-GENUS
, , O I-GENUS
JJ ADJP O I-GENUS
garden NN B-NP B-HYPER
pavilion NN I-NP I-HYPER
JJ ADJP O O
on IN B-PP O
some DT I-PP O
or CC I-PP O
all DT I-PP O
sides NNS I-PP O
. . O O

The DT I-NP O
name NN I-NP O
Kiribati NN I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
local NN I-NP I-GENUS
pronunciation NN B-NP B-HYPER
of IN B-PP O
" `` O O
Gilberts NPS B-NP O
" '' I-NP O
, , I-NP O
derived VVN I-NP O
from IN B-PP O
the DT I-PP O
main JJ I-PP O
island NN I-PP O
chain NN I-PP O
, , O O
the DT B-NP O
Gilbert NP I-NP O
Islands NPS I-NP O
. . O O

A DT B-NP O
Kite NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
flying VVG B-VP B-HYPER
tethered JJ B-NP I-HYPER
object NN I-NP I-HYPER
that WDT B-NP O
depends VVZ B-VP O
upon IN B-PP O
the DT I-PP O
tension NN I-PP O
of IN I-PP O
a DT I-PP O
tethering VVG I-PP O
system NN I-PP O
. . O O

The DT B-NP O
Kitáb-i-Aqdas- NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
central NN I-NP I-GENUS
book NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
Bahá'í NP I-PP O
Faith NP I-PP O
written VVN B-VP O
by IN B-PP O
Bahá'u'lláh NP I-PP O
, , O O
the DT B-NP O
founder NN I-NP O
of IN B-PP O
the DT I-PP O
religion NN I-PP O
. . O O

A DT B-NP O
Kiwi NP I-NP B-TERM
is VBZ B-VP O
any DT B-NP O
of IN B-PP O
the DT I-PP O
species NN I-PP O
of IN I-PP O
JJ ADJP O B-GENUS
birds NNS B-NP B-HYPER
endemic NN B-NP O
to TO B-PP O
New NP I-PP O
Zealand NP I-PP O
of IN I-PP O
the DT I-PP O
genus NN I-PP O
Apteryx NP I-PP O
( ( O O
the DT B-NP O
only JJ I-NP O
genus NN I-NP O
in IN B-PP O
family NN I-PP O
Apterygidae NNS I-PP O
) ) O O
. . O O

The DT B-NP O
Kiwifruit NP I-NP B-TERM
( ( O O
or CC O O
kiwi NN B-NP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
JJ ADJP O I-GENUS
berry NN B-NP B-HYPER
of IN B-PP O
a DT I-PP O
cultivar NN I-PP O
group NN I-PP O
of IN I-PP O
the DT I-PP O
woody JJ I-PP O
vine NN I-PP O
Actinidia NP I-PP O
deliciosa NP I-PP O
and CC I-PP O
hybrids NNS I-PP O
between IN I-PP O
this DT I-PP O
and CC I-PP O
other JJ I-PP O
species NNS I-PP O
in IN I-PP O
the DT I-PP O
genus NN I-PP O
Actinidia NP B-NP O
. . O O

The DT I-NP O
Klamath NP I-NP B-TERM
are VBP B-VP O
a DT B-NP B-GENUS
Native NP I-NP I-GENUS
American NP I-NP I-GENUS
tribe NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
Plateau NP I-PP O
culture NN I-PP O
area NN I-PP O
in IN I-PP O
Southern NP I-PP O
Oregon NP I-PP O
. . O O

A DT B-NP O
Kludge NP I-NP B-TERM
( ( O O
or CC O O
, , O O
RB ADVP O O
, , O O
kluge NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
or CC O I-GENUS
inelegant JJ B-NP I-GENUS
solution NN B-NP B-HYPER
to TO B-PP O
a DT I-PP O
problem NN I-PP O
or CC I-PP O
difficulty NN I-PP O
. . O O

A DT B-NP O
Knife NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
handheld NN I-NP I-GENUS
